"Sample_id","Contig","reads_number","GD","Diet","Group","num_seqs"
"L1EGH020932","NODE_689_length_6176_cov_10.907368||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2724_length_6440_cov_5.093500||full_3",8,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1245_length_8150_cov_6.382582||full_2",11,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_31_length_42540_cov_23.259880||full_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1374_length_9371_cov_8.697295||full_14",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6921_length_3702_cov_14.447217||full_5",8,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_14484_length_1720_cov_4.282883||full_4",14,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7774_length_2787_cov_6.970351||full_1",112,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2253_length_3532_cov_5.116192||full_1",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1399_length_7006_cov_8.368436||full_8",86,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1991_length_8748_cov_32.545151||full_3",11,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1818_length_5349_cov_12.241972||full_1",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_251_length_17880_cov_6.506704||full_3",19,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1388_length_10980_cov_6.144256||full_4",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5545_length_3561_cov_12.324301||full_4",30,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_674_length_11205_cov_7.272646||full_1",18,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4857_length_5651_cov_11.441387||full_2",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1691_length_7125_cov_20.791231||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7283_length_3806_cov_3.558518||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6099_length_4171_cov_12.700680||full_2",284,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2414_length_3641_cov_3.665086||full_1",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_56_length_38566_cov_158.914518||full_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3017_length_3888_cov_5.090269||full_3",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_451_length_18000_cov_5.649373||full_8",11,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_15014_length_2211_cov_23.458256||full_5",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1013_length_9208_cov_14.649295||full_6",32,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_271_length_21753_cov_18.275832||full_30",9,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6957_length_3794_cov_162.425782||full_2",81,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4635_length_3146_cov_8.403106||full_3",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1481_length_7015_cov_72.555172||full_3",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6422_length_4279_cov_13.055161||full_2",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4006_length_5422_cov_5.785728||full_1",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8421_length_2419_cov_6.316413||full_4",11,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5317_length_3621_cov_11.534492||full_2",14,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1649_length_10423_cov_163.654321||full_1",42,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1399_length_7006_cov_8.368436||full_5",41,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_617_length_16800_cov_54.887907||full_14",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3534_length_3496_cov_5.813426||full_7",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6227_length_2908_cov_9.509639||full_3",226,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_331_length_22688_cov_20.545531||full_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1648_length_5020_cov_6.382880||full_3",67,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_18303_length_1464_cov_6.936125||full_4",32,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6976_length_3791_cov_9.141328||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1444_length_5984_cov_5.935571||full_4",15,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2084_length_5921_cov_60.285032||full_3",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4227_length_4279_cov_7.285748||full_4",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_12669_length_1910_cov_3.679245||full_5",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6787_length_2992_cov_4.636704||full_4",15,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8500_length_3296_cov_24.664301||full_6",34,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_11914_length_2646_cov_3.500965||full_5",8,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_884_length_10073_cov_10.059193||full_8",8,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_19837_length_2082_cov_3.181056||full_1",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1481_length_4851_cov_6.631151||full_8",11,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7196_length_4002_cov_3.706866||full_1",14,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_12270_length_2639_cov_9.631579||full_3",20,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1447_length_10559_cov_6.440975||full_13",30,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3975_length_5970_cov_5.588504||full_11",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8778_length_2285_cov_9.812108||full_4",46,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3446_length_5634_cov_12.224771||full_2",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_53_length_37729_cov_93.096087||full_fragment_1_18",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1183_length_7725_cov_7.234159||full_3",86,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_918_length_9260_cov_30.645193||full_7",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3267_length_6661_cov_4.098547||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4426_length_3890_cov_4.966884||full_5",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_47_length_30552_cov_19.545168||full_33",79,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_807_length_14340_cov_28.397620||full_10",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6285_length_3930_cov_8.022968||full_2",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_9819_length_2242_cov_3.490169||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1580_length_4511_cov_5.315305||full_6",20,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3144_length_5568_cov_11.931253||full_4",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4613_length_3771_cov_4.806781||full_2",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2555_length_7214_cov_5.619640||full_5",11,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2290_length_3508_cov_8.044599||full_4",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4713_length_5224_cov_6.326369||full_5",15,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8344_length_3643_cov_4.579431||full_2",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_299_length_8486_cov_6.980311||full_10",21,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_15225_length_1446_cov_2.030194||full_3",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5848_length_2205_cov_4.692558||full_2",51,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_216_length_10624_cov_7.308071||full_4",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7552_length_2947_cov_3.571577||full_4",14,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2144_length_4951_cov_4.830678||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1990_length_6634_cov_10.164919||full_2",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_770_length_16362_cov_21.993193||full_11",16,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2409_length_3563_cov_4.937001||full_2",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5071_length_4966_cov_4.165343||full_2",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3927_length_2401_cov_3.172208||full_3",68,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1153_length_8543_cov_6.786287||full_7",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_687_length_9943_cov_9.986145||full_1",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_998_length_7805_cov_7.235097||full_10",39,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1435_length_8446_cov_46.530211||full_2",12,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2638_length_7732_cov_42.930702||full_2",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5871_length_3325_cov_16.129969||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1004_length_6412_cov_8.266321||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7473_length_3906_cov_13.327707||full_8",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1298_length_10933_cov_53.825336||full_5",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2836_length_5432_cov_13.175935||full_5",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3367_length_6632_cov_3.702600||full_3",8,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6888_length_4071_cov_5.354831||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1096_length_5639_cov_5.179083||full_4",33,"D0","FUC","FUC_D0",5671704
